"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Dcaf17",0.121408891302391,1.44057490316154,0.579194428335691,0.568869269575976,0.656368333076203,-5.80910870516518
"Serpina3c",-0.137197363237369,11.3560436942694,-0.53863539065867,0.596032286694423,0.680191893684672,-5.80910956224401
"Bcl3",-0.189894431467681,3.05669879010465,-0.798398181788907,0.433937733534374,0.529359056633347,-5.80911380749991
"Anapc10",0.13026298543411,1.42502212303604,0.576623809569073,0.570571836379069,0.6580039179304,-5.80912437820349
"Tnfaip1",0.140571769200323,3.98546588034284,0.856592917095142,0.401730156534719,0.496910199800204,-5.80917046798906
"Hmgxb4",0.122626849792115,1.07710359883412,0.519089182086564,0.609346351742091,0.691929190440812,-5.80918511146096
"Slc17a3",-0.17740209613621,6.03960656972004,-0.82691335825671,0.417959469346433,0.513503774850814,-5.80932458773867
"Lipo1",-0.135870501630428,0.642322481087945,-0.448012852816022,0.658917854399777,0.734182689691996,-5.80944242334393
"Dnai7",-0.103342117202919,-0.0396397566796947,-0.420491563623177,0.678571344231235,0.750967291957398,-5.8096771716166
"Cdkal1",0.13420287079375,1.7614807499142,0.629065692376949,0.536364579433889,0.626682416027086,-5.80986494811728
"Lats2",0.137851551680437,2.12892342974886,0.683891301489068,0.501824087169718,0.594034328640192,-5.8098806251112
"Desi1",-0.159679822171752,4.16546251071411,-0.86260614138736,0.398492185016264,0.493676580694653,-5.81025946069695
"Cdadc1",-0.155508701930885,4.48791373241744,-0.866308796259615,0.396506831233298,0.491704011968132,-5.81027781952917
"Atrn",0.249522473458391,4.0272345299916,0.855276701546325,0.40244116569723,0.497644974506396,-5.81028451611877
"Tmem249",-0.128683531391638,0.0523896043542698,-0.401299274225806,0.692418568129858,0.762597034099139,-5.81057089851253
"LOC120103022",-0.171736978625138,-0.411278592765911,-0.571842159644313,0.573745740115376,0.660807530256741,-5.81079638224924
"Dcun1d3",-0.105612611395445,0.76772798219509,-0.464066159175689,0.647568657624537,0.72416874855732,-5.81082434889319
"LOC120094453",0.237947323642672,0.389518535431399,0.428603905452574,0.672752863476816,0.745813386174918,-5.81114763339268
"Wdhd1",0.0936495475331687,0.178187290108158,0.411147624510729,0.685298790029963,0.756567374460872,-5.81118841743773
"Nxnl1",-0.17991392023111,-0.820734098769502,-0.750277537167449,0.46174859383714,0.556406728602649,-5.81119798244347
